사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2019-06-19,1호선,150,서울역,1455132,1383612,226392,222017
2019-06-19,1호선,151,시청,645458,665243,106006,104638
2019-06-19,1호선,152,종각,1089346,1054915,158107,148419
2019-06-19,1호선,153,종로3가,631015,593249,386610,363807
2019-06-19,1호선,154,종로5가,497300,516083,287805,276299
2019-06-19,1호선,155,동대문,311415,351442,142572,149128
2019-06-19,1호선,156,신설동,351093,344271,125185,119840
2019-06-19,1호선,157,제기동,272032,262364,338251,360782
2019-06-19,1호선,158,청량리(서울시립대입구),434832,450201,320309,326952
2019-06-19,1호선,159,동묘앞,178254,195117,162450,163978
2019-06-19,2호선,201,시청,686102,656475,61776,55747
2019-06-19,2호선,202,을지로입구,1369365,1370088,116388,107416
2019-06-19,2호선,203,을지로3가,586253,583938,92107,90810
2019-06-19,2호선,204,을지로4가,273829,279750,90164,86671
2019-06-19,2호선,205,동대문역사문화공원,505979,594677,62386,66430
2019-06-19,2호선,206,신당,343669,356331,105026,106826
2019-06-19,2호선,207,상왕십리,362743,338900,69396,70183
2019-06-19,2호선,208,왕십리(성동구청),533118,432024,61682,51527
2019-06-19,2호선,209,한양대,325829,371702,15741,16953
2019-06-19,2호선,210,뚝섬,500962,533742,64803,65088
2019-06-19,2호선,211,성수,730281,804360,108181,109528
2019-06-19,2호선,212,건대입구,1223409,1342701,100909,105058
2019-06-19,2호선,213,구의(광진구청),606392,576245,111048,111700
2019-06-19,2호선,214,강변(동서울터미널),1194678,1180114,150896,147023
2019-06-19,2호선,215,잠실나루,385324,373879,91590,92592
2019-06-19,2호선,216,잠실(송파구청),2274859,2191037,222644,211606
2019-06-19,2호선,217,잠실새내,620946,628593,115122,114943
2019-06-19,2호선,218,종합운동장,378318,429546,57628,61320
2019-06-19,2호선,219,삼성(무역센터),1587016,1647028,126975,120776
2019-06-19,2호선,220,선릉,1352293,1205628,216778,191086
2019-06-19,2호선,221,역삼,1167896,1324223,164900,167909
2019-06-19,2호선,222,강남,2716424,2802762,181864,163127
2019-06-19,2호선,223,교대(법원.검찰청),887786,1003008,168563,190630
2019-06-19,2호선,224,서초,591516,586967,96293,96104
2019-06-19,2호선,225,방배,499443,514817,84525,83821
2019-06-19,2호선,226,사당,1090379,1225257,228223,215555
2019-06-19,2호선,227,낙성대,776344,737304,117701,119407
2019-06-19,2호선,228,서울대입구(관악구청),1370334,1326684,206549,198678
2019-06-19,2호선,229,봉천,591394,531900,165397,165873
2019-06-19,2호선,230,신림,1849900,1782312,254521,258325
2019-06-19,2호선,231,신대방,729841,688917,140041,141006
2019-06-19,2호선,232,구로디지털단지,1666742,1666273,185723,188800
2019-06-19,2호선,233,대림(구로구청),767323,782994,123425,127112
2019-06-19,2호선,234,신도림,1529774,1535651,226191,215237
2019-06-19,2호선,235,문래,494920,503699,88230,87148
2019-06-19,2호선,236,영등포구청,535253,546822,104207,102370
2019-06-19,2호선,237,당산,597266,652248,74009,78897
2019-06-19,2호선,238,합정,930329,1003653,76539,76763
2019-06-19,2호선,239,홍대입구,2272157,2452562,115069,112454
2019-06-19,2호선,240,신촌,1239641,1276008,143989,142090
2019-06-19,2호선,241,이대,518015,553592,64239,64996
2019-06-19,2호선,242,아현,258940,244751,68029,67353
2019-06-19,2호선,243,충정로(경기대입구),270034,289648,51673,52038
2019-06-19,2호선,244,용답,65791,66507,18168,17522
2019-06-19,2호선,245,신답,37908,41202,10448,11317
2019-06-19,2호선,246,신설동,92902,85972,38777,40460
2019-06-19,2호선,247,도림천,26655,28452,7285,7941
2019-06-19,2호선,248,양천구청,166669,174021,49450,50356
2019-06-19,2호선,249,신정네거리,228675,234824,72230,74125
2019-06-19,2호선,250,용두(동대문구청),46995,48121,24376,25767
2019-06-19,3호선,309,지축,27586,28658,11613,14083
2019-06-19,3호선,310,구파발,542587,511706,121710,115899
2019-06-19,3호선,311,연신내,976267,910662,283751,273554
2019-06-19,3호선,312,불광,412784,455102,154758,171373
2019-06-19,3호선,313,녹번,351426,295804,72618,70808
2019-06-19,3호선,314,홍제,431229,400118,152355,150771
2019-06-19,3호선,315,무악재,89376,90557,32193,34244
2019-06-19,3호선,316,독립문,179730,186454,79868,79921
2019-06-19,3호선,317,경복궁(정부서울청사),649974,667167,94835,89814
2019-06-19,3호선,318,안국,615940,650539,101101,107016
2019-06-19,3호선,319,종로3가,257369,344223,64832,73716
2019-06-19,3호선,320,을지로3가,261445,281696,58621,57226
2019-06-19,3호선,321,충무로,43,0,1,0
2019-06-19,3호선,322,동대입구,300978,340790,43740,46522
2019-06-19,3호선,323,약수,337220,325629,89020,85797
2019-06-19,3호선,324,금호,201103,180400,58452,57325
2019-06-19,3호선,325,옥수,237412,245976,63132,63277
2019-06-19,3호선,326,압구정,837001,912848,153709,152016
2019-06-19,3호선,327,신사,895424,972716,76605,73871
2019-06-19,3호선,328,잠원,154573,147079,39690,38459
2019-06-19,3호선,329,고속터미널,1628943,1547521,201947,191595
2019-06-19,3호선,330,교대(법원.검찰청),357782,238379,74575,45430
2019-06-19,3호선,331,남부터미널(예술의전당),881015,905325,128988,129788
2019-06-19,3호선,332,양재(서초구청),1000613,1097899,172389,174141
2019-06-19,3호선,333,매봉,271912,261771,60927,55208
2019-06-19,3호선,334,도곡,141267,145923,27033,24896
2019-06-19,3호선,335,대치,304036,290284,65001,62406
2019-06-19,3호선,336,학여울,63238,65203,16031,15820
2019-06-19,3호선,337,대청,246607,218644,57350,54414
2019-06-19,3호선,338,일원,225439,228840,65739,66629
2019-06-19,3호선,339,수서,440685,435977,108830,106708
2019-06-19,3호선,340,가락시장,214205,206823,78432,76492
2019-06-19,3호선,341,경찰병원,180682,178224,42972,43834
2019-06-19,3호선,342,오금,166971,147385,30427,28438
2019-06-19,4호선,409,당고개,302465,277789,99260,97972
2019-06-19,4호선,410,상계,503780,444556,124300,121430
2019-06-19,4호선,411,노원,563911,649530,98737,96705
2019-06-19,4호선,412,창동,668676,713667,207739,214374
2019-06-19,4호선,413,쌍문,798936,698480,177072,172101
2019-06-19,4호선,414,수유(강북구청),925943,906758,217925,217027
2019-06-19,4호선,415,미아(서울사이버대학),392430,362101,125724,123556
2019-06-19,4호선,416,미아사거리,718476,689523,192224,189888
2019-06-19,4호선,417,길음,571511,542666,128975,129336
2019-06-19,4호선,418,성신여대입구(돈암),638072,598766,97722,97244
2019-06-19,4호선,419,한성대입구(삼선교),415325,392978,81217,80437
2019-06-19,4호선,420,혜화,1095928,1148643,139475,138953
2019-06-19,4호선,421,동대문,583107,592599,164956,152248
2019-06-19,4호선,422,동대문역사문화공원,618942,560584,65336,59732
2019-06-19,4호선,423,충무로,788965,811140,131572,133778
2019-06-19,4호선,424,명동,1074488,1166734,76246,78326
2019-06-19,4호선,425,회현(남대문시장),696064,754623,227149,226764
2019-06-19,4호선,426,서울역,350435,636344,42734,56212
2019-06-19,4호선,427,숙대입구(갈월),438769,425124,58879,54964
2019-06-19,4호선,428,삼각지,115772,141195,29255,31764
2019-06-19,4호선,429,신용산,428144,452191,52724,52877
2019-06-19,4호선,430,이촌(국립중앙박물관),228323,255765,53385,56427
2019-06-19,4호선,431,동작(현충원),68083,75101,29683,31414
2019-06-19,4호선,432,총신대입구(이수),481586,535389,158179,165340
2019-06-19,4호선,433,사당,784646,677942,101896,105705
2019-06-19,4호선,434,남태령,38238,26512,9036,8132
2019-06-19,경부선,1001,서울역,207022,43038,13474,2456
2019-06-19,경부선,1002,남영,285976,304471,39308,41295
2019-06-19,경부선,1003,용산,1148223,1186072,137908,138262
2019-06-19,경부선,1004,노량진,325708,298764,41731,37562
2019-06-19,경부선,1005,대방,358979,361768,73887,74504
2019-06-19,경부선,1006,영등포,1200087,1265079,299306,298878
2019-06-19,경부선,1007,신도림,103946,103330,26138,29110
2019-06-19,경부선,1032,신길,251046,202638,48081,44390
2019-06-19,경부선,1701,구로,520368,546649,100005,97077
2019-06-19,경부선,1702,가산디지털단지,445453,522987,34360,37842
2019-06-19,경부선,1703,금천구청,292840,281744,85064,85360
2019-06-19,경부선,1704,석수,300536,263568,52502,49987
2019-06-19,경부선,1705,관악,202220,191765,59600,58586
2019-06-19,경부선,1706,안양,707373,694067,123502,125908
2019-06-19,경부선,1707,명학,252596,252723,46027,46137
2019-06-19,경부선,1708,금정,695742,703516,115314,116051
2019-06-19,경부선,1709,군포,185425,179296,36501,34826
2019-06-19,경부선,1710,의왕,233017,226338,42222,42239
2019-06-19,경부선,1711,성균관대,422141,409867,55787,56316
2019-06-19,경부선,1712,화서,210103,204840,47268,47254
2019-06-19,경부선,1713,수원,1255567,1330377,161276,170233
2019-06-19,경부선,1714,독산,409181,428962,67198,70220
2019-06-19,경부선,1715,세류,100652,94782,19402,19141
2019-06-19,경부선,1716,병점,435175,431418,65815,65011
2019-06-19,경부선,1717,세마,76739,68862,16691,15635
2019-06-19,경부선,1718,오산대,92151,90210,17653,17027
2019-06-19,경부선,1719,오산,285330,273018,46561,46953
2019-06-19,경부선,1720,진위,44125,38331,8666,8427
2019-06-19,경부선,1721,송탄,131240,128031,25314,24698
2019-06-19,경부선,1722,서정리,136963,136017,27615,27051
2019-06-19,경부선,1723,지제,74794,69848,8969,8700
2019-06-19,경부선,1724,평택,371284,367060,72074,70491
2019-06-19,경부선,1725,성환,123368,120282,21814,21819
2019-06-19,경부선,1726,직산,22496,23819,6287,6062
2019-06-19,경부선,1727,두정,165923,177509,23409,24582
2019-06-19,경부선,1728,천안,176827,161226,59815,58878
2019-06-19,경부선,1729,당정,187676,179155,31629,30936
2019-06-19,경부선,1749,서동탄,44884,38417,10395,9807
2019-06-19,경부선,1750,광명,89135,69698,7666,6486
2019-06-19,경인선,1801,개봉,563889,548921,168760,174688
2019-06-19,경인선,1802,오류동,287194,259145,101754,99096
2019-06-19,경인선,1803,역곡,786020,756500,162690,165068
2019-06-19,경인선,1804,부천,989974,999910,226479,230249
2019-06-19,경인선,1805,송내,836769,825484,130244,128429
2019-06-19,경인선,1806,부평,975773,1070668,152775,157826
2019-06-19,경인선,1807,백운,197973,190920,69548,71346
2019-06-19,경인선,1808,동암,444656,439231,107649,107897
2019-06-19,경인선,1809,주안,616026,559527,102349,91919
2019-06-19,경인선,1810,제물포,284335,263494,64601,64720
2019-06-19,경인선,1811,동인천,388628,369913,137051,133302
2019-06-19,경인선,1812,인천,98947,76782,47937,44435
2019-06-19,경인선,1813,구일,191001,193623,41379,40916
2019-06-19,경인선,1814,소사,272002,255026,74653,73159
2019-06-19,경인선,1815,부개,222980,203991,70341,68952
2019-06-19,경인선,1816,간석,153733,144723,48789,47525
2019-06-19,경인선,1817,도원,87158,89075,37134,37961
2019-06-19,경인선,1821,온수(성공회대입구),182854,178359,51936,50825
2019-06-19,경인선,1822,중동,231454,213022,73362,72145
2019-06-19,경인선,1823,도화,90178,78222,40274,39158
2019-06-19,경원선,1008,이촌(국립중앙박물관),107479,76873,30151,25154
2019-06-19,경원선,1009,서빙고,48828,47287,17284,16675
2019-06-19,경원선,1010,한남,102389,98919,33765,31532
2019-06-19,경원선,1011,옥수,1514,979,136,88
2019-06-19,경원선,1012,응봉,40675,33942,18733,17490
2019-06-19,경원선,1013,왕십리(성동구청),439932,488259,65064,70938
2019-06-19,경원선,1014,청량리(서울시립대입구),372447,394504,160992,167405
2019-06-19,경원선,1016,외대앞,266238,253930,49132,47950
2019-06-19,경원선,1017,신이문,213088,184688,70210,68836
2019-06-19,경원선,1018,석계,228802,250579,68738,72458
2019-06-19,경원선,1019,광운대,230771,218205,56122,55627
2019-06-19,경원선,1020,월계,152430,137547,62485,59720
2019-06-19,경원선,1021,녹천,110536,87414,42806,39154
2019-06-19,경원선,1022,창동,17,0,0,0
2019-06-19,경원선,1901,방학,202059,191012,112054,110806
2019-06-19,경원선,1902,도봉,121843,110695,73537,73430
2019-06-19,경원선,1903,도봉산,162282,93639,112945,90606
2019-06-19,경원선,1904,망월사,207698,206224,76469,78557
2019-06-19,경원선,1905,회룡,251219,237738,156345,156287
2019-06-19,경원선,1906,의정부,535036,565192,130821,132810
2019-06-19,경원선,1907,가능,158744,147033,64122,62978
2019-06-19,경원선,1908,녹양,116882,107415,37464,35523
2019-06-19,경원선,1909,양주,219037,194325,63543,61524
2019-06-19,경원선,1910,덕계,54977,46503,19957,18489
2019-06-19,경원선,1911,덕정,169984,163855,38322,39172
2019-06-19,경원선,1912,지행,180446,178876,48883,48442
2019-06-19,경원선,1913,동두천중앙,74792,70272,43440,43883
2019-06-19,경원선,1914,보산,43460,41253,15110,14336
2019-06-19,경원선,1915,동두천,52662,59994,21066,30754
2019-06-19,경원선,1916,소요산,52142,41054,86684,74941
2019-06-19,안산선,1751,산본,443711,479615,113168,115000
2019-06-19,안산선,1752,대야미,114972,100708,29385,28061
2019-06-19,안산선,1753,반월,118217,108955,31556,30892
2019-06-19,안산선,1754,상록수,543162,525353,90400,91071
2019-06-19,안산선,1755,한대앞,234532,228636,40762,40888
2019-06-19,안산선,1756,중앙,483670,514317,60837,59332
2019-06-19,안산선,1757,고잔,231917,227534,36133,35188
2019-06-19,안산선,1758,초지,105961,111985,14042,14493
2019-06-19,안산선,1759,안산,417822,380939,40888,38316
2019-06-19,안산선,1760,신길온천,44546,40344,10230,9785
2019-06-19,안산선,1761,정왕,247748,259474,25352,26929
2019-06-19,안산선,1762,오이도,278716,267726,44572,43858
2019-06-19,안산선,1763,수리산,99557,76206,34563,32439
2019-06-19,과천선,1450,선바위,242821,198864,35720,34277
2019-06-19,과천선,1451,경마공원,164193,169960,72901,73603
2019-06-19,과천선,1452,대공원,147954,161653,55626,58060
2019-06-19,과천선,1453,과천,126504,110191,37133,35394
2019-06-19,과천선,1454,정부과천청사,290651,286678,66646,63778
2019-06-19,과천선,1455,인덕원,659630,655886,114453,117792
2019-06-19,과천선,1456,평촌,451985,444539,68770,68955
2019-06-19,과천선,1457,범계,774216,756224,117527,113700
2019-06-19,분당선,1023,선릉,275384,468092,35846,52254
2019-06-19,분당선,1024,한티,366501,385798,72316,73622
2019-06-19,분당선,1025,도곡,159546,157892,46451,45060
2019-06-19,분당선,1026,구룡,40950,38905,14366,14355
2019-06-19,분당선,1027,개포동,78042,79797,22746,23441
2019-06-19,분당선,1028,대모산입구,69866,62191,30667,30390
2019-06-19,분당선,1030,수서,367538,371893,67664,69408
2019-06-19,분당선,1031,복정,21,0,2,0
2019-06-19,분당선,1846,수원,252919,171644,29520,17705
2019-06-19,분당선,1847,서울숲,233127,234528,28041,27045
2019-06-19,분당선,1848,압구정로데오,453323,524482,42219,40607
2019-06-19,분당선,1849,강남구청,225775,265927,41445,44885
2019-06-19,분당선,1850,선정릉,179344,197400,36926,36749
2019-06-19,분당선,1851,가천대,252490,281902,28143,30386
2019-06-19,분당선,1852,태평,338187,320769,92228,94555
2019-06-19,분당선,1853,모란,518983,512629,169464,185735
2019-06-19,분당선,1854,야탑,694597,737767,175190,174498
2019-06-19,분당선,1855,서현,699622,718477,140984,138912
2019-06-19,분당선,1856,수내,333079,327392,82891,82933
2019-06-19,분당선,1857,정자,420266,451337,78202,79223
2019-06-19,분당선,1858,미금,403004,427484,116025,126805
2019-06-19,분당선,1859,오리,297187,253775,86110,72559
2019-06-19,분당선,1860,이매,150739,141006,44885,43258
2019-06-19,분당선,1861,보정,57786,46381,26244,24731
2019-06-19,분당선,1862,죽전,400634,445780,85914,93010
2019-06-19,분당선,1863,구성,112891,113021,40963,41135
2019-06-19,분당선,1864,신갈,110853,106224,35615,35234
2019-06-19,분당선,1865,기흥,277469,263137,44527,44693
2019-06-19,분당선,1866,상갈,141170,133006,35851,33193
2019-06-19,분당선,1867,청명,113342,105145,20259,20863
2019-06-19,분당선,1868,영통,260928,266841,32723,32990
2019-06-19,분당선,1869,망포,384677,351764,35626,33955
2019-06-19,분당선,1870,매탄권선,124087,117132,18063,17438
2019-06-19,분당선,1871,수원시청,333438,377247,40795,41510
2019-06-19,분당선,1872,매교,59248,59966,17103,17717
2019-06-19,일산선,1948,원흥,215434,195811,47691,45598
2019-06-19,일산선,1949,지축,3,0,0,0
2019-06-19,일산선,1950,삼송,416461,393477,92612,92216
2019-06-19,일산선,1951,원당,273192,255773,90033,88917
2019-06-19,일산선,1952,화정,450529,466498,140036,143257
2019-06-19,일산선,1953,대곡,42918,32284,13283,12161
2019-06-19,일산선,1954,백석,262567,264794,82313,81177
2019-06-19,일산선,1955,마두,170681,175157,80196,81676
2019-06-19,일산선,1956,정발산,199778,217503,64139,60585
2019-06-19,일산선,1957,주엽,198663,200149,101867,107578
2019-06-19,일산선,1958,대화,363896,280026,99248,90247
2019-06-19,중앙선,1015,회기,747870,717140,136089,135146
2019-06-19,중앙선,1201,중랑,124070,115733,54151,53134
2019-06-19,중앙선,1202,상봉(시외버스터미널),147123,143000,42222,39529
2019-06-19,중앙선,1203,망우,181432,173681,74994,76218
2019-06-19,중앙선,1204,양원,38657,40232,16930,17418
2019-06-19,중앙선,1205,구리,340191,349322,92102,92578
2019-06-19,중앙선,1206,도농,230932,200264,64495,61505
2019-06-19,중앙선,1207,양정,18676,15542,9550,8296
2019-06-19,중앙선,1208,덕소,141743,139056,53094,52931
2019-06-19,중앙선,1209,도심,61723,47596,22225,20796
2019-06-19,중앙선,1210,팔당,25040,25419,8460,8368
2019-06-19,중앙선,1211,운길산,23546,22603,12626,12837
2019-06-19,중앙선,1212,양수,47842,47426,24676,24949
2019-06-19,중앙선,1213,신원,4145,3323,3337,2789
2019-06-19,중앙선,1214,국수,17032,15957,9833,9843
2019-06-19,중앙선,1215,아신,16537,16608,6832,6837
2019-06-19,중앙선,1216,오빈,6092,5849,4633,4624
2019-06-19,중앙선,1217,양평,73518,75316,37266,37933
2019-06-19,중앙선,1218,원덕,7241,6799,7137,6931
2019-06-19,중앙선,1219,용문,43299,44416,48114,47604
2019-06-19,중앙선,1220,지평,1346,905,851,950
2019-06-19,장항선,1401,봉명,26457,26022,13838,13544
2019-06-19,장항선,1402,쌍용(나사렛대),64648,59401,16222,15337
